Temperature,Humidity,Infrared,Distance,CreatedAt,IsAlarm
121,13,1,16,01/03/2020 10:23:22,Yes
111,13,1,22,01/03/2020 10:23:23,Yes
101,13,1,24,01/03/2020 10:23:24,Yes
84.71,11,1,6.34,01/03/2020 10:23:25,Yes
70.85,11,1,14,01/03/2020 10:23:26,Yes
90.83,11,1,17,01/03/2020 10:23:27,Yes
92.12,11,1,21,01/03/2020 10:23:28,Yes
98.24,11,1,22,01/03/2020 10:23:29,Yes
87.29,11,1,23,01/03/2020 10:23:30,Yes
22,11,1,99,11/05/2020 15:13:30,Yes
23,11,1,122,11/05/2020 15:13:31,Yes
23,11,1,400,11/05/2020 15:13:32,Yes
22,11,1,201,11/05/2020 15:13:33,Yes
23,12,1,111,11/05/2020 15:13:34,Yes
22,12,1,55,11/05/2020 15:13:35,Yes
23,12,1,66,11/05/2020 15:13:36,Yes
22,12,1,12,11/05/2020 15:13:37,Yes
23,12,1,44,11/05/2020 15:13:38,Yes
23,12,1,104,11/05/2020 15:13:39,Yes
28.96,12,0,18.78,11/05/2020 15:13:40,No
24.28,12,0,17.49,11/05/2020 15:13:41,No
23.96,12,0,154.89,11/05/2020 15:13:42,No
23.96,12,0,155.39,11/05/2020 15:13:43,No
23.96,12,0,400,11/05/2020 15:13:44,No
23.96,12,0,154.98,11/05/2020 15:13:45,No
23.28,12,0,14.8,11/05/2020 15:13:46,No
23.28,12,0,154.91,11/05/2020 15:13:47,No
23.28,13,0,155.8,11/05/2020 15:13:48,No
23.28,13,0,155.79,11/05/2020 15:13:49,No
23.28,13,0,12.08,11/05/2020 15:13:50,No
23.28,13,0,156.99,11/05/2020 15:13:51,No
23.28,13,0,156.15,11/05/2020 15:13:52,No
23.28,13,0,9.62,11/05/2020 15:13:53,No
23.28,13,0,11.26,11/05/2020 15:13:54,No
23.28,13,0,10.39,11/05/2020 15:13:55,No
23.28,13,0,10.11,11/05/2020 15:13:56,No
23.96,13,0,9.34,11/05/2020 15:13:57,No
23.28,13,0,10.37,11/05/2020 15:13:58,No
23.28,13,0,6.39,11/05/2020 15:13:59,No
23.28,13,0,6.14,11/05/2020 15:14:00,No
24.92,13,0,6.45,11/05/2020 15:14:01,No
24.31,13,0,154.1,11/05/2020 15:14:02,No
24.77,13,0,400,11/05/2020 15:14:03,No
24.12,13,0,400,11/05/2020 15:14:04,No
24.44,13,0,400,11/05/2020 15:14:05,No
24.44,11,0,400,11/05/2020 15:14:06,No
24.44,11,0,400,11/05/2020 15:14:07,No
24.44,11,0,400,11/05/2020 15:14:08,No
24.44,11,0,400,11/05/2020 15:14:09,No
24.44,11,0,194.66,11/05/2020 15:14:10,No
24.44,11,0,193.78,11/05/2020 15:14:11,No
24.44,11,0,194.64,11/05/2020 15:14:12,No
24.44,11,0,400,11/05/2020 15:14:13,No
24.44,11,0,193.73,11/05/2020 15:14:14,No
24.12,11,0,400,11/05/2020 15:14:15,No
24.44,12,0,400,11/05/2020 15:14:16,No
24.77,12,0,400,11/05/2020 15:14:17,No
24.77,12,0,400,11/05/2020 15:14:18,No
132.4,12,1,4,11/05/2020 15:14:19,Yes
115,12,1,23,11/05/2020 15:14:20,Yes
109.52,12,1,21,11/05/2020 15:14:21,Yes
94.05,12,1,21,11/05/2020 15:14:22,Yes
96.63,12,1,32,11/05/2020 15:14:23,Yes
99.53,12,1,12,11/05/2020 15:14:24,Yes
27.67,12,0,65,11/05/2020 15:14:25,No
27.67,12,0,34,11/05/2020 15:14:26,No
27.34,12,0,23,11/05/2020 15:14:27,No
27.67,12,0,400,11/05/2020 15:14:28,No
27.34,12,0,23,11/05/2020 15:14:29,No
27.34,13,0,45,11/05/2020 15:14:30,No
27.67,13,0,67,11/05/2020 15:14:31,No
27.34,13,0,45,11/05/2020 15:14:32,No
27.67,13,0,67,11/05/2020 15:14:33,No
27.99,13,0,78,11/05/2020 15:14:34,No
28.63,13,0,89,11/05/2020 15:14:35,No
27.34,13,0,43,11/05/2020 15:14:36,No
27.34,13,0,54,11/05/2020 15:14:37,No
27.34,13,0,76,11/05/2020 15:14:38,No
27.34,13,0,87,11/05/2020 15:14:39,No
27.34,13,0,54,11/05/2020 15:14:40,No
27.34,13,0,32,11/05/2020 15:14:41,No
27.34,13,0,43,11/05/2020 15:14:42,No
27.67,13,0,193.4,11/05/2020 15:14:43,No
27.34,13,0,33,11/05/2020 15:14:44,No
27.34,13,0,55,11/05/2020 15:14:45,No
27.67,13,0,44,11/05/2020 15:14:46,No
27.34,13,0,66,11/05/2020 15:14:47,No
27.34,11,0,77,11/05/2020 15:14:48,No
27.34,11,0,88,11/05/2020 15:14:49,No
27.34,11,0,44,11/05/2020 15:14:50,No
23,11,1,32,12/07/2020 21:04:12,Yes
32,11,1,21,12/07/2020 21:04:13,Yes
22,11,1,56,12/07/2020 21:04:14,Yes
32,11,1,22,12/07/2020 21:04:15,Yes
23,11,1,78,12/07/2020 21:04:16,Yes
32,11,1,22,12/07/2020 21:04:17,Yes
22,11,1,32,12/07/2020 21:04:18,Yes
32,12,1,22,12/07/2020 21:04:19,Yes
24.77,12,0,400,12/07/2020 21:04:20,No
24.12,12,0,400,12/07/2020 21:04:21,No
24.44,12,0,193.72,12/07/2020 21:04:22,No
24.44,12,0,193.75,12/07/2020 21:04:23,No
24.44,12,0,400,12/07/2020 21:04:24,No
24.44,12,0,400,12/07/2020 21:04:25,No
24.44,12,0,400,12/07/2020 21:04:26,No
24.44,12,0,400,12/07/2020 21:04:27,No
27.67,12,0,34,12/07/2020 21:04:28,No
27.34,12,0,45,12/07/2020 21:04:29,No
27.67,12,0,56,12/07/2020 21:04:30,No
27.99,12,0,67,12/07/2020 21:04:31,No
28.63,12,0,23,12/07/2020 21:04:32,No
27.34,13,0,34,12/07/2020 21:04:33,No
27.34,13,0,45,12/07/2020 21:04:34,No
27.34,13,0,56,12/07/2020 21:04:35,No
27.34,13,0,67,12/07/2020 21:04:36,No
27.34,13,0,78,12/07/2020 21:04:37,No
27.34,13,0,89,12/07/2020 21:04:38,No
27.34,13,0,23,12/07/2020 21:04:39,No
27.67,13,0,34,12/07/2020 21:04:40,No
27.34,13,0,45,12/07/2020 21:04:41,No
27.34,13,0,56,12/07/2020 21:04:42,No
27.67,13,0,67,12/07/2020 21:04:43,No
27.34,13,0,12,12/07/2020 21:04:44,No
27.34,13,0,23,12/07/2020 21:04:45,No
27.34,13,0,400,12/07/2020 21:04:46,No
29,13,0,45,12/07/2020 21:04:47,No
22,13,1,56,12/07/2020 21:04:48,Yes
23,13,1,67,12/07/2020 21:04:49,Yes
23,13,1,99,12/07/2020 21:04:50,Yes
22,11,1,32,12/07/2020 21:04:51,Yes
22,11,1,199,12/07/2020 21:04:52,Yes
23,11,1,76,12/07/2020 21:04:53,Yes
23,11,1,193.4,12/07/2020 21:04:54,Yes
25.09,11,1,193.4,12/07/2020 21:04:55,Yes
24.44,11,0,193.73,12/07/2020 21:04:56,No
24.44,11,0,400,12/07/2020 21:04:57,No
24.44,11,0,400,12/07/2020 21:04:58,No
24.44,11,0,400,12/07/2020 21:04:59,No
95.66,11,1,22,12/07/2020 21:05:00,Yes
88.9,12,1,21,12/07/2020 21:05:01,Yes
88.25,12,1,17,12/07/2020 21:05:02,Yes
86.96,12,1,18,12/07/2020 21:05:03,Yes
27.34,12,0,45,12/07/2020 21:05:04,No
27.34,12,0,56,12/07/2020 21:05:05,No
30.89,12,1,67,12/07/2020 21:05:06,Yes
30.89,12,1,78,12/07/2020 21:05:07,Yes
23,12,1,23,12/07/2020 21:05:08,Yes
25,12,1,24,12/07/2020 21:05:09,Yes
25,12,1,23,12/07/2020 21:05:10,Yes
25.09,12,1,45,12/07/2020 21:05:11,Yes
101.79,12,1,12,12/07/2020 21:05:12,Yes
98.24,12,1,15,12/07/2020 21:05:13,Yes
95.02,12,1,17,12/07/2020 21:05:14,Yes
24.44,13,0,400,12/07/2020 21:05:15,No
24.44,13,0,400,12/07/2020 21:05:16,No
24.44,13,0,193.75,12/07/2020 21:05:17,No
24.44,13,0,400,12/07/2020 21:05:18,No
24.12,13,0,400,12/07/2020 21:05:19,No
24.44,13,0,400,12/07/2020 21:05:20,No
24.77,13,0,400,12/07/2020 21:05:21,No
24.77,13,0,194.58,12/07/2020 21:05:22,No
132.4,13,1,12,03/08/2020 15:06:03,No
115,13,1,15,03/08/2020 15:06:04,Yes
109.52,13,1,13,03/08/2020 15:06:05,Yes
94.05,13,1,15,03/08/2020 15:06:06,Yes
96.63,13,1,14,03/08/2020 15:06:07,Yes
99.53,13,1,22,03/08/2020 15:06:08,Yes
27.67,13,0,67,03/08/2020 15:06:09,No
27.67,13,0,78,03/08/2020 15:06:10,No
27.34,13,0,56,03/08/2020 15:06:11,No
27.67,13,0,34,03/08/2020 15:06:12,No
27.34,11,0,32,03/08/2020 15:06:13,No
27.34,11,0,23,03/08/2020 15:06:14,No
24.77,11,0,400,03/08/2020 15:06:15,No
25.09,11,0,400,03/08/2020 15:06:16,No
25.09,11,0,400,03/08/2020 15:06:17,No
25.09,11,0,400,03/08/2020 15:06:18,No
25.09,11,0,400,03/08/2020 15:06:19,No
24.77,11,0,400,03/08/2020 15:06:20,No
25.09,11,0,400,03/08/2020 15:06:21,No
25.09,11,0,400,03/08/2020 15:06:22,No
25.09,12,0,400,03/08/2020 15:06:23,No
24.44,12,0,400,03/08/2020 15:06:24,No
25.09,12,0,400,03/08/2020 15:06:25,No
25.09,12,0,400,03/08/2020 15:06:26,No
25.09,12,0,400,03/08/2020 15:06:27,No
25.41,12,0,400,03/08/2020 15:06:28,No
25.09,12,0,400,03/08/2020 15:06:29,No
25.41,12,0,400,03/08/2020 15:06:30,No
25.41,12,0,400,03/08/2020 15:06:31,No
25.41,12,0,400,03/08/2020 15:06:32,No
25.09,12,0,400,03/08/2020 15:06:33,No
24.77,12,0,400,03/08/2020 15:06:34,No
25.41,12,0,400,03/08/2020 15:06:35,No
24.77,12,0,400,03/08/2020 15:06:36,No
25.09,13,0,400,03/08/2020 15:06:37,No
25.09,13,0,92.82,03/08/2020 15:06:38,No
25.09,13,0,400,03/08/2020 15:06:39,No
25.09,13,0,77.05,03/08/2020 15:06:40,No
25.09,13,0,400,03/08/2020 15:06:41,No
25.09,13,0,400,03/08/2020 15:06:42,No
25.09,13,0,400,03/08/2020 15:06:43,No
25.09,13,0,77.03,03/08/2020 15:06:44,No
25.09,13,0,400,03/08/2020 15:06:45,No
25.09,13,0,400,03/08/2020 15:06:46,No
25.09,13,0,400,03/08/2020 15:06:47,No
25.09,13,0,400,03/08/2020 15:06:48,No
24.77,13,0,400,03/08/2020 15:06:49,No
24.77,13,0,400,03/08/2020 15:06:50,No
25.09,13,0,400,03/08/2020 15:06:51,No
25.09,13,0,400,03/08/2020 15:06:52,No
25.09,13,0,400,03/08/2020 15:06:53,No
25.09,13,0,400,03/08/2020 15:06:54,No
24.77,11,0,400,03/08/2020 15:06:55,No
25.09,11,0,400,03/08/2020 15:06:56,No
25.09,11,0,400,03/08/2020 15:06:57,No
24.77,11,0,400,03/08/2020 15:06:58,No
24.77,11,0,400,03/08/2020 15:06:59,No
25.09,11,0,400,03/08/2020 15:07:00,No
25.09,11,0,55,03/08/2020 15:07:01,No
25.09,11,0,400,03/08/2020 15:07:02,No
25.09,11,0,400,03/08/2020 15:07:03,No
25.09,11,0,400,03/08/2020 15:07:04,No
25.09,12,0,400,03/08/2020 15:07:05,No
25.09,12,0,400,03/08/2020 15:07:06,No
25.09,12,0,55,03/08/2020 15:07:07,No
25.09,12,0,400,03/08/2020 15:07:08,No
25.09,12,0,400,03/08/2020 15:07:09,No
25.09,12,0,400,03/08/2020 15:07:10,No
24.44,12,0,400,03/08/2020 15:07:11,No
24.77,12,0,400,03/08/2020 15:07:12,No
25.09,12,0,343,03/08/2020 15:07:13,No
25.09,12,0,400,03/08/2020 15:07:14,No
24.77,12,0,400,03/08/2020 15:07:15,No
24.77,12,0,400,03/08/2020 15:07:16,No
24.77,12,0,400,03/08/2020 15:07:17,No
25.09,12,0,400,03/08/2020 15:07:18,No
25.09,13,0,400,03/08/2020 15:07:19,No
25.09,13,0,400,03/08/2020 15:07:20,No
25.09,13,0,400,03/08/2020 15:07:21,No
24.77,13,0,400,03/08/2020 15:07:22,No
24.44,13,0,89.11,03/08/2020 15:07:23,No
24.77,13,0,400,03/08/2020 15:07:24,No
24.77,13,0,400,03/08/2020 15:07:25,No
25.09,13,0,400,03/08/2020 15:07:26,No
56.03,13,1,22,03/08/2020 15:07:27,No
112,13,1,21,03/08/2020 15:07:28,Yes
131,13,1,21,03/08/2020 15:07:29,Yes
144,13,1,22,03/08/2020 15:07:30,Yes
121,13,1,21,03/08/2020 15:07:31,Yes
111,13,1,16,03/08/2020 15:07:32,Yes
101,13,1,19,03/08/2020 15:07:33,Yes
47.97,13,1,19,03/08/2020 15:07:34,Yes
50.87,13,1,22,03/08/2020 15:07:35,Yes
33.79,13,1,22,03/08/2020 15:07:36,Yes
34.43,11,1,22,03/08/2020 15:07:37,Yes
32.82,11,1,22,03/08/2020 15:07:38,Yes
112,11,1,15,03/08/2020 15:07:39,Yes
131,11,1,22,03/08/2020 15:07:40,Yes
144,11,1,21,03/08/2020 15:07:41,Yes
121,11,1,21,03/08/2020 15:07:42,Yes
111,11,1,22,03/08/2020 15:07:43,Yes
101,11,1,16,03/08/2020 15:07:44,Yes
76.65,11,1,18,03/08/2020 15:07:45,Yes
69.56,11,1,16,03/08/2020 15:07:46,Yes
58.6,12,1,19,03/08/2020 15:07:47,Yes
74.07,12,1,15,03/08/2020 15:07:48,Yes
42.81,12,1,22,03/08/2020 15:07:49,Yes
100.82,12,1,8,03/08/2020 15:07:50,Yes
56.03,12,1,12,03/08/2020 15:07:51,Yes
32.18,12,1,33,03/08/2020 15:07:52,Yes
47.97,12,1,23,03/08/2020 15:07:53,Yes
81.48,12,1,15,03/08/2020 15:07:54,Yes
55.7,12,1,22,03/08/2020 15:07:55,Yes
111,12,1,7.1,03/08/2020 15:07:56,Yes
88,12,1,23,03/08/2020 15:07:57,Yes
131,12,1,23,03/08/2020 15:07:58,Yes
88,12,1,32,03/08/2020 15:07:59,Yes
121,12,1,7.96,03/08/2020 15:08:00,Yes
111,13,1,23,03/08/2020 15:08:01,Yes
33,13,1,41.84,03/08/2020 15:08:02,Yes
36.37,13,1,46.4,03/08/2020 15:08:03,Yes
38.95,13,1,21,03/08/2020 15:08:04,Yes
99,13,1,8.4,03/08/2020 15:08:05,Yes
35.08,13,1,19,03/08/2020 15:08:06,Yes
88,13,1,7.16,03/08/2020 15:08:07,Yes
50.55,13,1,21,03/08/2020 15:08:08,Yes
108.55,13,1,7,03/08/2020 15:08:09,Yes
90.83,13,1,12,03/08/2020 15:08:10,Yes
66.98,13,1,32,03/08/2020 15:08:11,Yes
65.37,13,1,43,03/08/2020 15:08:12,Yes
85.67,13,1,40.68,03/08/2020 15:08:13,Yes
36.37,13,1,42.18,03/08/2020 15:08:14,Yes
97.28,13,1,19,03/08/2020 15:08:15,Yes
74.72,13,1,400,03/08/2020 15:08:16,Yes
68.59,13,1,33,03/08/2020 15:08:17,Yes
95.34,13,1,7.9,03/08/2020 15:08:18,Yes
89.54,11,1,12,03/08/2020 15:08:19,Yes
48.94,11,1,7.56,03/08/2020 15:08:20,Yes
90.19,11,1,17,03/08/2020 15:08:21,Yes
82.77,11,1,6.25,03/08/2020 15:08:22,Yes
73.43,11,1,22,03/08/2020 15:08:23,Yes
47.32,11,1,28,03/08/2020 15:08:24,No
32.5,11,0,400,03/08/2020 15:08:25,No
32.5,11,0,400,03/08/2020 15:08:26,No
32.18,11,0,400,03/08/2020 15:08:27,No
32.5,11,0,400,03/08/2020 15:08:28,No
32.18,12,0,400,03/08/2020 15:08:29,No
32.18,12,0,54,03/08/2020 15:08:30,No
32.18,12,0,43,09/09/2020 08:18:31,No
32.5,12,0,43,09/09/2020 08:18:32,No
32.5,12,0,50.44,09/09/2020 08:18:33,No
32.5,12,0,32,09/09/2020 08:18:34,No
32.18,12,0,50.82,09/09/2020 08:18:35,No
32.18,12,0,34,09/09/2020 08:18:36,No
32.5,12,0,21.35,09/09/2020 08:18:37,No
22,12,0,51.01,09/09/2020 08:18:38,No
32.18,12,0,54,09/09/2020 08:18:39,No
32.5,12,0,47.8,09/09/2020 08:18:40,No
32.18,12,0,50.02,09/09/2020 08:18:41,No
32.18,12,0,49.91,09/09/2020 08:18:42,No
32.5,13,0,65,09/09/2020 08:18:43,No
32.5,13,0,49.1,09/09/2020 08:18:44,No
34.11,13,0,53.59,09/09/2020 08:18:45,No
32.5,13,0,32,09/09/2020 08:18:46,No
32.5,13,0,23.36,09/09/2020 08:18:47,No
34.11,13,0,32,09/09/2020 08:18:48,No
32.18,13,0,22.17,09/09/2020 08:18:49,No
34.11,13,0,44,09/09/2020 08:18:50,No
32.18,13,0,25.41,09/09/2020 08:18:51,No
32.5,13,0,54,09/09/2020 08:18:52,No
32.5,13,0,49.57,09/09/2020 08:18:53,No
32.5,13,0,111,09/09/2020 08:18:54,No
32.18,13,0,22.17,09/09/2020 08:18:55,No
32.18,13,0,112,09/09/2020 08:18:56,No
32.18,13,0,28.33,09/09/2020 08:18:57,No
32.18,13,0,61.76,09/09/2020 08:18:58,No
32.5,13,0,113,09/09/2020 08:18:59,No
32.18,13,0,19.49,09/09/2020 08:19:00,No
32.5,11,0,57.95,09/09/2020 08:19:01,No
32.18,11,0,211,09/09/2020 08:19:02,No
32.5,11,0,60.42,09/09/2020 08:19:03,No
32.5,11,0,11,09/09/2020 08:19:04,No
32.18,11,0,20.8,09/09/2020 08:19:05,No
32.5,11,0,23,09/09/2020 08:19:06,No
32.5,11,0,62.4,09/09/2020 08:19:07,No
32.5,11,0,64.25,09/09/2020 08:19:08,No
32.5,11,0,64.26,09/09/2020 08:19:09,No
32.5,11,0,64.47,09/09/2020 08:19:10,No
32.5,12,0,64.22,09/09/2020 08:19:11,No
32.5,12,0,65.32,09/09/2020 08:19:12,No
32.5,12,0,64.47,09/09/2020 08:19:13,No
32.5,12,0,63.72,09/09/2020 08:19:14,No
32.5,12,0,64.98,09/09/2020 08:19:15,No
32.5,12,0,34,09/09/2020 08:19:16,No
32.5,12,0,17.1,09/09/2020 08:19:17,No
32.5,12,0,66.43,09/09/2020 08:19:18,No
32.5,12,0,66.31,09/09/2020 08:19:19,No
32.5,12,0,66.92,09/09/2020 08:19:20,No
32.5,12,0,400,09/09/2020 08:19:21,No
32.5,12,0,66.87,09/09/2020 08:19:22,No
32.5,12,0,65.89,09/09/2020 08:19:23,No
32.5,12,0,77,09/09/2020 08:19:24,No
32.18,13,0,19.25,09/09/2020 08:19:25,No
32.5,13,0,66,09/09/2020 08:19:26,No
32.18,13,0,16.5,09/09/2020 08:19:27,No
32.5,13,0,65.28,09/09/2020 08:19:28,No
32.5,13,0,66.73,09/09/2020 08:19:29,No
32.5,13,0,66.92,09/09/2020 08:19:30,No
32.5,13,0,65.26,09/09/2020 08:19:31,No
32.5,13,0,66.07,09/09/2020 08:19:32,No
32.5,13,0,66.28,09/09/2020 08:19:33,No
32.18,13,0,55,09/09/2020 08:19:34,No
32.5,13,0,22.83,09/09/2020 08:19:35,No
32.5,13,0,33,09/09/2020 08:19:36,No
32.5,13,0,4,09/09/2020 08:19:37,No
32.18,13,0,44,09/09/2020 08:19:38,No
32.18,13,0,13.73,09/09/2020 08:19:39,No
32.18,13,0,70.2,09/09/2020 08:19:40,No
32.18,13,0,55,09/09/2020 08:19:41,No
31.86,13,0,61.42,09/09/2020 08:19:42,No
31.86,11,0,61.91,09/09/2020 08:19:43,No
34.43,11,0,55,09/09/2020 08:19:44,No
34.43,11,0,61.46,09/09/2020 08:19:45,No
32,11,0,57.4,09/09/2020 08:19:46,No
32,11,0,59.4,09/09/2020 08:19:47,No
23,11,0,33,09/09/2020 08:19:48,No
23,11,0,49.92,09/09/2020 08:19:49,No
22,11,0,56.12,09/09/2020 08:19:50,No
23,11,0,22,09/09/2020 08:19:51,No
33.14,11,0,55.43,09/09/2020 08:19:52,No
32.5,12,0,32,09/09/2020 08:19:53,No
32.5,12,0,55.49,09/09/2020 08:19:54,No
32.5,12,0,58.3,09/09/2020 08:19:55,No
32.18,12,0,400,09/09/2020 08:19:56,No
32.5,12,0,56.06,09/09/2020 08:19:57,No
32.5,12,0,400,09/09/2020 08:19:58,No
32.5,12,0,348.63,09/09/2020 08:19:59,No
32.18,12,0,56.85,09/09/2020 08:20:00,No
31.86,12,0,61.78,09/09/2020 08:20:01,No
32.82,12,0,54.29,09/09/2020 08:20:02,No
32.82,12,0,54.26,09/09/2020 08:20:03,No
32.5,12,0,59.16,09/09/2020 08:20:04,No
32.5,12,0,59.11,09/09/2020 08:20:05,No
32.18,12,1,59.74,09/09/2020 08:20:06,No
33,13,1,22,09/09/2020 08:20:07,No
32.18,13,1,60.14,09/09/2020 08:20:08,Yes
37,13,1,29,09/09/2020 08:20:09,Yes
32.5,13,1,56.79,09/09/2020 08:20:10,Yes
32,13,1,34,09/09/2020 08:20:11,Yes
32.18,13,1,57.69,09/09/2020 08:20:12,Yes
32,13,1,32,09/09/2020 08:20:13,Yes
30.24,13,1,59.15,09/09/2020 08:20:14,Yes
32.18,13,1,60.36,09/09/2020 08:20:15,Yes
32.18,13,1,59.06,09/09/2020 08:20:16,Yes
30.24,13,1,60.02,09/09/2020 08:20:17,Yes
32.18,13,1,59.97,09/09/2020 08:20:18,Yes
32.18,13,1,60.75,09/09/2020 08:20:19,Yes
30.24,13,1,60.46,09/09/2020 08:20:20,Yes
32.18,13,1,60.87,09/09/2020 08:20:21,Yes
32,13,1,12,09/09/2020 08:20:22,Yes
30.24,13,1,57.06,09/09/2020 08:20:23,Yes
32.18,13,1,61.26,09/09/2020 08:20:24,Yes
30.24,11,1,61.88,09/09/2020 08:20:25,Yes
32,11,1,23,09/09/2020 08:20:26,Yes
30.24,11,1,59.85,09/09/2020 08:20:27,Yes
32,11,1,34,09/09/2020 08:20:28,Yes
32,11,1,19.16,09/09/2020 08:20:29,Yes
30.24,11,1,400,09/09/2020 08:20:30,Yes
30.57,11,1,57.5,09/09/2020 08:20:31,Yes
30.24,11,1,61.67,09/09/2020 08:20:32,Yes
29.92,11,1,60.43,09/09/2020 08:20:33,Yes
30.24,11,1,60.4,09/09/2020 08:20:34,Yes
29.92,12,1,60.96,09/09/2020 08:20:35,Yes
29.92,12,1,59.7,09/09/2020 08:20:36,Yes
32.5,12,1,61.79,09/09/2020 08:20:37,Yes
32,12,1,43,09/09/2020 08:20:38,Yes
30.24,12,1,57.68,09/09/2020 08:20:39,Yes
32,12,1,45,09/09/2020 08:20:40,Yes
31.21,12,1,58.61,09/09/2020 08:20:41,Yes
32,12,1,43,09/09/2020 08:20:42,Yes
29.6,12,1,57.48,09/09/2020 08:20:43,Yes
32,12,1,60.86,09/09/2020 08:20:44,Yes
32,12,1,43,09/09/2020 08:20:45,Yes
29.92,12,1,17.91,09/09/2020 08:20:46,Yes
32,12,1,22,09/09/2020 08:20:47,Yes
29.92,12,1,61.05,09/09/2020 08:20:48,Yes
32,13,1,34,09/09/2020 08:20:49,Yes
30.24,13,1,57.16,09/09/2020 08:20:50,Yes
32,13,1,32,09/09/2020 08:20:51,Yes
30.24,13,1,58.95,09/09/2020 08:20:52,Yes
30.24,13,1,62.67,09/09/2020 08:20:53,Yes
32,13,1,32,09/09/2020 08:20:54,Yes
32,13,1,19.5,09/09/2020 08:20:55,Yes
29.92,13,1,121,09/09/2020 08:20:56,Yes
